Data,"Base de instalações (Todos os dispositivos, Dispositivos únicos, Por intervalo, Diária): Todos os países / todas as regiões","Base de instalações (Todos os dispositivos, Dispositivos únicos, Por intervalo, Diária): Brasil",Observações
16 de abr. de 2026,300,284,Lançamento da versão: Início do lançamento de 47 (2.1.24) em 20%. Lançamento da versão: Aumento do lançamento de 47 (2.1.24) para 100%. Lançamento da versão: Interrupção do lançamento de 47 (2.1.24).
17 de abr. de 2026,313,292,
18 de abr. de 2026,298,278,Lançamento da versão: Início do lançamento de 48 (2.1.25) em 50%.
19 de abr. de 2026,321,298,
20 de abr. de 2026,332,309,
21 de abr. de 2026,325,301,
22 de abr. de 2026,341,316,Lançamento da versão: Aumento do lançamento de 48 (2.1.25) para 100%.
23 de abr. de 2026,360,329,
24 de abr. de 2026,345,315,
25 de abr. de 2026,352,316,
26 de abr. de 2026,372,336,
27 de abr. de 2026,370,327,
28 de abr. de 2026,385,342,
29 de abr. de 2026,375,337,
30 de abr. de 2026,378,331,
1 de mai. de 2026,386,340,
2 de mai. de 2026,404,355,
3 de mai. de 2026,407,360,
4 de mai. de 2026,399,350,
5 de mai. de 2026,410,348,
6 de mai. de 2026,410,359,
7 de mai. de 2026,422,369,Lançamento da versão: Início do lançamento de 49 (2.1.26) em 20%.
8 de mai. de 2026,410,364,Lançamento da versão: Aumento do lançamento de 49 (2.1.26) para 100%. Lançamento da versão: Interrupção do lançamento de 49 (2.1.26).
9 de mai. de 2026,414,362,
10 de mai. de 2026,420,365,
11 de mai. de 2026,420,361,
12 de mai. de 2026,417,359,Lançamento da versão: Início do lançamento de 56 (2.1.33) em 100%.
13 de mai. de 2026,438,382,
14 de mai. de 2026,426,370,
15 de mai. de 2026,429,376,
16 de mai. de 2026,437,379,
17 de mai. de 2026,447,391,
18 de mai. de 2026,463,401,
19 de mai. de 2026,455,392,
20 de mai. de 2026,471,408,
21 de mai. de 2026,480,418,
22 de mai. de 2026,466,404,Lançamento da versão: Início do lançamento de 58 (2.1.35) em 100%.
23 de mai. de 2026,475,415,
24 de mai. de 2026,482,420,
25 de mai. de 2026,492,429,
26 de mai. de 2026,483,422,Lançamento da versão: Interrupção do lançamento de 58 (2.1.35).
27 de mai. de 2026,501,439,
28 de mai. de 2026,509,444,Lançamento da versão: Início do lançamento de 60 (2.1.37) em 100%.
29 de mai. de 2026,511,443,
30 de mai. de 2026,502,434,
31 de mai. de 2026,532,461,
1 de jun. de 2026,522,448,
2 de jun. de 2026,524,453,
3 de jun. de 2026,530,456,
4 de jun. de 2026,551,468,
5 de jun. de 2026,561,480,
6 de jun. de 2026,572,483,
7 de jun. de 2026,571,486,Lançamento da versão: Início do lançamento de 61 (2.1.38) em 100%.
8 de jun. de 2026,579,491,
9 de jun. de 2026,576,492,
10 de jun. de 2026,603,519,
11 de jun. de 2026,600,514,
12 de jun. de 2026,615,531,
13 de jun. de 2026,618,531,
14 de jun. de 2026,622,537,
15 de jun. de 2026,621,531,
16 de jun. de 2026,627,537,
17 de jun. de 2026,676,578,
18 de jun. de 2026,655,566,
19 de jun. de 2026,653,559,
20 de jun. de 2026,662,577,
21 de jun. de 2026,667,577,
22 de jun. de 2026,672,575,
23 de jun. de 2026,673,581,
24 de jun. de 2026,656,567,
25 de jun. de 2026,671,580,
26 de jun. de 2026,679,578,
27 de jun. de 2026,711,608,
28 de jun. de 2026,724,622,
29 de jun. de 2026,683,585,
30 de jun. de 2026,704,604,
1 de jul. de 2026,696,593,
2 de jul. de 2026,699,596,
3 de jul. de 2026,735,632,
4 de jul. de 2026,721,615,
5 de jul. de 2026,714,612,
6 de jul. de 2026,0,0,
7 de jul. de 2026,725,616,
